raw_row_number_1based,trade_id,quality_flag,warning_count,error_count,warning_codes,error_codes
288,573,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
289,576,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
290,578,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
291,582,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
292,581,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
293,584,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
294,588,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
295,587,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
296,590,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
297,594,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
298,593,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
299,597,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
300,598,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
301,601,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
302,602,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
303,605,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
304,606,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
305,608,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
306,611,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
307,612,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
308,614,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
309,618,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
310,619,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
311,620,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
312,622,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
313,625,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
314,626,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
315,629,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
316,630,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
317,633,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
318,634,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
319,636,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
320,638,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
321,640,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
322,643,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
323,644,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
324,646,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
325,649,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
326,650,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
327,652,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
328,655,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
